Order ID,Order Date,Region,State,City,Channel,Segment,Category,Product,Units,Unit Price,Revenue,Cost,Profit
SO-2506-10000,06/03/2025,Midwest,OH,Columbus,Online,Consumer,Technology,Mouse,2,$17.43,$34.86,$23.21,$11.65
SO-2408-10001,2024-08-16,South,TN,Nashville, Partner ,Small Business,Technology,Mouse,4,$18.43,$73.72,$45.02,$28.70
SO-2404-10002,04/30/2024,South,TN,Nashville,Partner,Corporate,Office Supplies,PENS,4,,$15.52,$10.53,$4.99
SO-2407-10003,07/29/2024,Northeast,NY,New York,In-Store,Small Business, Furniture ,Standing Desk,1,$288.51,$288.51,$170.26,$118.25
SO-2403-10004,03/24/2024,West,AZ,Phoenix,Partner,Corporate,Technology,Laptop Stand,4,$28.74,$114.96,$72.70,$42.26
SO-2412-10005,"Dec 16, 2024",West,AZ,Phoenix,Online,Corporate,Furniture,Filing Cabinet,5,$149.81,$749.05,$487.69,$261.36
SO-2512-10006,"Dec 12, 2025",West,CA,Los Angeles,In-Store,Small Business,Furniture,Desk Chair,4,$140.31,$561.24,$355.45,$205.79
SO-2512-10007,12/19/2025,West,CO,Denver,In-Store,Small Business,Office Supplies,Paper,3,$7.92,$23.76,$14.76,$9.00
SO-2509-10008,09/17/2025,West,AZ,Phoenix,Online, Corporate ,Furniture,Filing Cabinet,4,$178.57,$714.28,$457.45,$256.83
SO-2406-10009,06/19/2024,South,AL,Birmingham,In-Store,Corporate,Technology, Keyboard ,3,$42.85,$128.55,$98.34,$30.21
SO-2408-10010,08/24/2024,Midwest,OH,Columbus,Online,Consumer, Technology ,Monitor,4,$191.13,$764.52,$552.66,$211.86
SO-2405-10011,"May 29, 2024",Northeast,MA,Boston,In-Store,Small Business,Office Supplies,Pens,4,$3.83,$15.32,$10.34,$4.98
SO-2507-10012,07/26/2025,Midwest,MI,Detroit,In-Store,Corporate,Office Supplies,Paper,1,$6.90,$6.90,$4.70,$2.20
SO-2406-10013,06/15/2024,West,CO,Denver,Online,Corporate,Office Supplies, Stapler ,2,$13.51,$27.02,$15.11,$11.91
SO-2407-10014,"Jul 31, 2024",South,GA,Atlanta,Partner,Corporate,Office Supplies,Pens,3,$4.54,$13.62,$9.43,$4.19
SO-2505-10015,"May 06, 2025",Northeast,PA,Philadelphia,In-Store,Corporate,Technology,MONITOR,2,$178.59,$357.18,$245.69,$111.49
SO-2407-10016,2024-07-29,South,AL,Birmingham,Partner,Corporate,Office Supplies,Binders,5,$10.71,$53.55,$33.30,$20.25
SO-2501-10017,01/10/2025,Northeast,NY,New York,Online,Corporate,Furniture,Bookshelf,4,$102.91,$411.64,$257.02,$154.62
SO-2409-10018,2024-09-02,Northeast,PA,Philadelphia,In-Store,Small Business,Furniture,Standing Desk,2,$310.18,$620.36,$380.39,$239.97
