OrderID,OrderDate,Region,State,City,Channel,Segment,Category,Product,Units,UnitPrice,Revenue,Cost,Profit
SO-2506-10000,2025-06-03,Midwest,OH,Columbus,Online,Consumer,Technology,Mouse,2,17.43,34.86,23.21,11.65
SO-2408-10001,2024-08-16,South,TN,Nashville,Partner,Small Business,Technology,Mouse,4,18.43,73.72,45.02,28.7
SO-2404-10002,2024-04-30,South,TN,Nashville,Partner,Corporate,Office Supplies,Pens,4,3.88,15.52,10.53,4.99
SO-2407-10003,2024-07-29,Northeast,NY,New York,In-Store,Small Business,Furniture,Standing Desk,1,288.51,288.51,170.26,118.25
SO-2403-10004,2024-03-24,West,AZ,Phoenix,Partner,Corporate,Technology,Laptop Stand,4,28.74,114.96,72.7,42.26
SO-2412-10005,2024-12-16,West,AZ,Phoenix,Online,Corporate,Furniture,Filing Cabinet,5,149.81,749.05,487.69,261.36
SO-2512-10006,2025-12-12,West,CA,Los Angeles,In-Store,Small Business,Furniture,Desk Chair,4,140.31,561.24,355.45,205.79
SO-2512-10007,2025-12-19,West,CO,Denver,In-Store,Small Business,Office Supplies,Paper,3,7.92,23.76,14.76,9.0
SO-2509-10008,2025-09-17,West,AZ,Phoenix,Online,Corporate,Furniture,Filing Cabinet,4,178.57,714.28,457.45,256.83
SO-2406-10009,2024-06-19,South,AL,Birmingham,In-Store,Corporate,Technology,Keyboard,3,42.85,128.55,98.34,30.21
SO-2408-10010,2024-08-24,Midwest,OH,Columbus,Online,Consumer,Technology,Monitor,4,191.13,764.52,552.66,211.86
SO-2405-10011,2024-05-29,Northeast,MA,Boston,In-Store,Small Business,Office Supplies,Pens,4,3.83,15.32,10.34,4.98
SO-2507-10012,2025-07-26,Midwest,MI,Detroit,In-Store,Corporate,Office Supplies,Paper,1,6.9,6.9,4.7,2.2
SO-2406-10013,2024-06-15,West,CO,Denver,Online,Corporate,Office Supplies,Stapler,2,13.51,27.02,15.11,11.91
SO-2407-10014,2024-07-31,South,GA,Atlanta,Partner,Corporate,Office Supplies,Pens,3,4.54,13.62,9.43,4.19
SO-2505-10015,2025-05-06,Northeast,PA,Philadelphia,In-Store,Corporate,Technology,Monitor,2,178.59,357.18,245.69,111.49
SO-2407-10016,2024-07-29,South,AL,Birmingham,Partner,Corporate,Office Supplies,Binders,5,10.71,53.55,33.3,20.25
SO-2501-10017,2025-01-10,Northeast,NY,New York,Online,Corporate,Furniture,Bookshelf,4,102.91,411.64,257.02,154.62
SO-2409-10018,2024-09-02,Northeast,PA,Philadelphia,In-Store,Small Business,Furniture,Standing Desk,2,310.18,620.36,380.39,239.97
SO-2409-10019,2024-09-22,Northeast,MA,Boston,Online,Small Business,Furniture,Filing Cabinet,2,153.06,306.12,192.09,114.03
SO-2407-10020,2024-07-20,Midwest,MN,Minneapolis,In-Store,Consumer,Furniture,Bookshelf,9,102.27,920.43,569.34,351.09
SO-2512-10021,2025-12-29,West,CA,Los Angeles,Online,Corporate,Technology,Monitor,5,196.17,980.85,705.14,275.71
SO-2403-10022,2024-03-27,Northeast,NJ,Newark,Partner,Consumer,Furniture,Bookshelf,1,78.83,78.83,51.93,26.9
SO-2509-10023,2025-09-02,Northeast,MA,Boston,In-Store,Small Business,Office Supplies,Pens,5,4.61,23.05,14.29,8.76
SO-2405-10024,2024-05-22,Midwest,OH,Columbus,In-Store,Consumer,Furniture,Standing Desk,1,256.92,256.92,153.5,103.42
SO-2503-10025,2025-03-05,Northeast,NY,New York,Online,Consumer,Technology,Keyboard,2,37.51,75.02,52.93,22.09
SO-2506-10026,2025-06-06,Midwest,MN,Minneapolis,Online,Corporate,Furniture,Filing Cabinet,4,175.69,702.76,425.74,277.02
SO-2511-10027,2025-11-29,Northeast,NY,New York,Partner,Small Business,Office Supplies,Pens,2,4.01,8.02,5.16,2.86
SO-2507-10028,2025-07-29,West,CA,Los Angeles,Online,Consumer,Furniture,Desk Chair,2,120.18,240.36,160.15,80.21
SO-2409-10029,2024-09-10,West,AZ,Phoenix,Partner,Small Business,Furniture,Standing Desk,2,317.34,634.68,419.69,214.99
SO-2503-10030,2025-03-14,Midwest,OH,Columbus,Online,Consumer,Technology,Keyboard,4,38.99,155.96,102.45,53.51
SO-2404-10031,2024-04-06,Midwest,IL,Chicago,In-Store,Corporate,Office Supplies,Binders,5,8.92,44.6,30.44,14.16
SO-2404-10032,2024-04-04,Northeast,MA,Boston,Partner,Corporate,Office Supplies,Stapler,3,14.92,44.76,27.33,17.43
SO-2506-10033,2025-06-08,South,FL,Miami,Online,Consumer,Furniture,Filing Cabinet,1,157.13,157.13,107.8,49.33
SO-2503-10034,2025-03-08,Northeast,NY,New York,Partner,Corporate,Office Supplies,Binders,2,9.31,18.62,12.77,5.85
SO-2503-10035,2025-03-11,West,WA,Seattle,Online,Corporate,Furniture,Filing Cabinet,1,169.61,169.61,118.22,51.39
SO-2401-10036,2024-01-12,South,GA,Atlanta,In-Store,Small Business,Technology,Mouse,1,20.64,20.64,13.37,7.27
SO-2409-10037,2024-09-25,West,AZ,Phoenix,Online,Consumer,Furniture,Standing Desk,1,258.88,258.88,192.81,66.07
SO-2410-10038,2024-10-04,Northeast,PA,Philadelphia,In-Store,Consumer,Furniture,Bookshelf,3,90.83,272.49,189.18,83.31
SO-2504-10039,2025-04-02,Midwest,IL,Chicago,Online,Small Business,Office Supplies,Paper,4,7.48,29.92,18.93,10.99
SO-2407-10040,2024-07-22,West,CO,Denver,Partner,Small Business,Furniture,Filing Cabinet,1,182.56,182.56,113.01,69.55
SO-2503-10041,2025-03-17,Northeast,NJ,Newark,Online,Consumer,Technology,Mouse,7,22.01,154.07,109.79,44.28
SO-2410-10042,2024-10-02,South,TN,Nashville,In-Store,Consumer,Furniture,Bookshelf,2,92.66,185.32,113.33,71.99
SO-2401-10043,2024-01-02,Midwest,MI,Detroit,In-Store,Corporate,Technology,Monitor,1,166.19,166.19,108.97,57.22
SO-2405-10044,2024-05-27,South,TN,Nashville,In-Store,Small Business,Technology,Keyboard,1,36.97,36.97,22.79,14.18
SO-2406-10045,2024-06-07,South,TN,Nashville,Partner,Small Business,Office Supplies,Binders,2,9.4,18.8,11.0,7.8
SO-2506-10046,2025-06-09,West,AZ,Phoenix,Partner,Corporate,Furniture,Filing Cabinet,4,143.17,572.68,336.42,236.26
SO-2501-10047,2025-01-20,Northeast,NY,New York,In-Store,Small Business,Furniture,Standing Desk,2,262.65,525.3,390.36,134.94
SO-2505-10048,2025-05-30,South,GA,Atlanta,Partner,Consumer,Furniture,Standing Desk,3,299.03,897.09,634.43,262.66
SO-2510-10049,2025-10-27,South,TN,Nashville,In-Store,Corporate,Technology,Mouse,2,22.07,44.14,32.49,11.65
SO-2405-10050,2024-05-30,West,CA,Los Angeles,In-Store,Corporate,Technology,Monitor,3,194.41,583.23,417.42,165.81
SO-2511-10051,2025-11-22,Midwest,OH,Columbus,In-Store,Corporate,Office Supplies,Stapler,3,11.28,33.84,19.98,13.86
SO-2403-10052,2024-03-28,Midwest,MN,Minneapolis,In-Store,Consumer,Technology,Laptop Stand,6,32.39,194.34,135.81,58.53
SO-2403-10053,2024-03-17,Midwest,MN,Minneapolis,Partner,Consumer,Office Supplies,Stapler,4,14.91,59.64,36.26,23.38
SO-2501-10054,2025-01-08,Northeast,PA,Philadelphia,Online,Corporate,Technology,Keyboard,1,41.23,41.23,26.81,14.42
SO-2405-10055,2024-05-24,West,CO,Denver,In-Store,Corporate,Office Supplies,Pens,5,3.82,19.1,11.91,7.19
SO-2407-10056,2024-07-19,West,AZ,Phoenix,Partner,Consumer,Office Supplies,Binders,2,8.5,17.0,11.26,5.74
SO-2503-10057,2025-03-14,Midwest,MI,Detroit,In-Store,Consumer,Technology,Mouse,3,19.35,58.05,40.99,17.06
SO-2411-10058,2024-11-19,Midwest,IL,Chicago,Online,Corporate,Office Supplies,Binders,5,10.39,51.95,29.73,22.22
SO-2402-10059,2024-02-20,West,CA,Los Angeles,Partner,Corporate,Furniture,Filing Cabinet,4,179.83,719.32,505.2,214.12
SO-2502-10060,2025-02-28,West,WA,Seattle,In-Store,Corporate,Furniture,Bookshelf,5,89.6,448.0,272.85,175.15
SO-2405-10061,2024-05-02,Midwest,MI,Detroit,Online,Small Business,Furniture,Bookshelf,4,87.46,349.84,242.69,107.15
SO-2503-10062,2025-03-13,Northeast,NY,New York,Online,Small Business,Office Supplies,Stapler,2,13.19,26.38,16.3,10.08
SO-2508-10063,2025-08-06,Northeast,MA,Boston,Online,Consumer,Office Supplies,Pens,1,4.28,4.28,2.41,1.87
SO-2501-10064,2025-01-03,West,CO,Denver,Online,Small Business,Technology,Keyboard,6,38.51,231.06,141.22,89.84
SO-2401-10065,2024-01-23,Northeast,NY,New York,Online,Consumer,Technology,Keyboard,1,38.61,38.61,26.17,12.44
SO-2504-10066,2025-04-24,West,CO,Denver,In-Store,Consumer,Furniture,Filing Cabinet,3,136.0,408.0,293.9,114.1
SO-2510-10067,2025-10-24,South,AL,Birmingham,In-Store,Consumer,Office Supplies,Pens,3,4.52,13.56,8.85,4.71
SO-2510-10068,2025-10-03,South,GA,Atlanta,In-Store,Small Business,Office Supplies,Pens,3,4.58,13.74,7.63,6.11
SO-2509-10069,2025-09-07,West,CA,Los Angeles,Online,Consumer,Office Supplies,Paper,2,6.57,13.14,9.09,4.05
SO-2409-10070,2024-09-09,Midwest,MN,Minneapolis,Online,Corporate,Technology,Monitor,4,187.8,751.2,514.99,236.21
SO-2511-10071,2025-11-14,Midwest,IL,Chicago,In-Store,Corporate,Office Supplies,Pens,4,4.49,17.96,11.7,6.26
SO-2410-10072,2024-10-26,Northeast,NJ,Newark,Partner,Small Business,Office Supplies,Binders,1,10.64,10.64,6.43,4.21
SO-2410-10073,2024-10-29,South,AL,Birmingham,Online,Small Business,Technology,Keyboard,1,37.73,37.73,24.21,13.52
SO-2502-10074,2025-02-06,West,WA,Seattle,Online,Consumer,Office Supplies,Stapler,1,12.67,12.67,8.23,4.44
SO-2411-10075,2024-11-17,South,AL,Birmingham,Partner,Consumer,Technology,Mouse,2,21.25,42.5,28.94,13.56
SO-2511-10076,2025-11-11,South,AL,Birmingham,Partner,Corporate,Technology,Keyboard,1,36.22,36.22,26.6,9.62
SO-2405-10077,2024-05-06,Midwest,MI,Detroit,Partner,Consumer,Technology,Keyboard,3,35.3,105.9,65.08,40.82
SO-2504-10078,2025-04-02,West,AZ,Phoenix,Online,Corporate,Technology,Laptop Stand,1,26.28,26.28,16.69,9.59
SO-2504-10079,2025-04-20,Midwest,MN,Minneapolis,Online,Consumer,Office Supplies,Stapler,5,12.01,60.05,38.66,21.39
SO-2509-10080,2025-09-23,Midwest,OH,Columbus,Online,Corporate,Furniture,Desk Chair,4,145.53,582.12,432.4,149.72
SO-2403-10081,2024-03-07,Midwest,MI,Detroit,Online,Consumer,Technology,Mouse,4,21.32,85.28,63.54,21.74
SO-2505-10082,2025-05-20,South,TN,Nashville,Online,Corporate,Furniture,Filing Cabinet,3,181.78,545.34,356.16,189.18
SO-2411-10083,2024-11-23,Northeast,NY,New York,In-Store,Corporate,Furniture,Bookshelf,1,98.7,98.7,62.75,35.95
SO-2411-10084,2024-11-29,South,AL,Birmingham,Online,Corporate,Technology,Keyboard,4,36.96,147.84,89.61,58.23
SO-2406-10085,2024-06-26,South,GA,Atlanta,Online,Consumer,Technology,Mouse,1,18.24,18.24,14.19,4.05
SO-2410-10086,2024-10-27,West,CO,Denver,In-Store,Corporate,Furniture,Standing Desk,1,322.31,322.31,193.58,128.73
SO-2508-10087,2025-08-15,Midwest,MI,Detroit,Online,Corporate,Technology,Monitor,1,163.75,163.75,105.48,58.27
SO-2402-10088,2024-02-07,South,TN,Nashville,Online,Consumer,Technology,Keyboard,2,40.08,80.16,59.76,20.4
SO-2508-10089,2025-08-20,West,WA,Seattle,Online,Consumer,Technology,Monitor,4,155.17,620.68,385.73,234.95
SO-2512-10090,2025-12-27,Midwest,OH,Columbus,Partner,Corporate,Technology,Monitor,4,194.84,779.36,468.51,310.85
SO-2510-10091,2025-10-29,Northeast,NY,New York,Online,Consumer,Technology,Monitor,1,160.63,160.63,103.75,56.88
SO-2507-10092,2025-07-15,Midwest,MN,Minneapolis,In-Store,Consumer,Furniture,Bookshelf,3,81.49,244.47,174.84,69.63
SO-2502-10093,2025-02-23,West,CA,Los Angeles,In-Store,Small Business,Technology,Keyboard,4,41.66,166.64,104.89,61.75
SO-2501-10094,2025-01-07,Midwest,MN,Minneapolis,Partner,Consumer,Office Supplies,Binders,5,10.73,53.65,36.62,17.03
SO-2508-10095,2025-08-14,West,CO,Denver,In-Store,Corporate,Office Supplies,Paper,2,6.85,13.7,7.86,5.84
SO-2509-10096,2025-09-29,Northeast,MA,Boston,In-Store,Small Business,Office Supplies,Paper,2,7.1,14.2,9.17,5.03
SO-2407-10097,2024-07-21,Northeast,MA,Boston,In-Store,Consumer,Technology,Monitor,1,161.73,161.73,98.99,62.74
